Date,Time,Name,MAC,Value
2023-06-14,16:35:40.846,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:35:41.837,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:35:42.845,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:35:43.835,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:35:44.844,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:35:45.845,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:35:46.845,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:35:47.845,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:35:48.845,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:35:49.845,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:35:50.846,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:35:51.839,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:35:52.849,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:35:53.849,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:35:54.849,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:35:55.844,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:35:56.842,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:35:57.848,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:35:58.849,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:35:59.850,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:00.853,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:01.838,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:02.842,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:03.840,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:04.847,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:05.843,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:06.857,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:07.851,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:08.852,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:09.852,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:10.855,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:11.849,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:12.855,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:13.855,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:14.856,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:15.851,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:16.859,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:17.859,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:18.859,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:19.858,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:20.863,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:21.860,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:22.868,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:23.852,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:24.851,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:25.853,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:26.860,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:27.856,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:28.857,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:29.855,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:30.863,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:31.847,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:32.855,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:33.849,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:34.848,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:35.855,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:36.848,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:37.854,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:38.867,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:39.853,AP1,f0:b4:29:db:56:85,-49
2023-06-14,16:36:40.847,AP1,f0:b4:29:db:56:85,-49
