AP1,AP2,AP1_attack,AP2_attack,layers1,layers2,error,error_adv
-45.0,-50.0,-47.320552825927734,-49.809043884277344,4,6,0.8275713893225748,2.8956736642542165
-47.0,-43.0,-46.84723663330078,-44.8564453125,5,3,1.5089319727612005,1.8624296001038643
-50.0,-41.0,-49.65627670288086,-45.176998138427734,3,6,3.8031640520209327,5.845215686357038
-41.0,-55.0,-47.49755096435547,-54.4653205871582,4,4,0.701428497147304,2.1334702470121703
-50.0,-27.0,-49.12160110473633,-37.6745491027832,5,2,1.7052039849270633,2.159103582778565
-48.0,-37.0,-47.57989501953125,-42.105220794677734,6,3,1.3973859221873142,2.2567968770199345
-42.0,-48.0,-44.784664154052734,-47.770851135253906,6,3,0.7643850152389826,2.617129491229565
-32.0,-47.0,-38.96166229248047,-46.42713165283203,2,6,0.16935236720938335,2.7993198560923074
-43.0,-40.0,-42.88542556762695,-41.392333984375,6,2,1.840886787861718,1.894858532360358
-48.0,-44.0,-47.84723663330078,-45.8564453125,5,4,0.8011404085668427,0.4610990316209443
-36.0,-44.0,-39.712886810302734,-43.6944694519043,2,5,0.48384183757695,1.6170926552572498
-29.0,-49.0,-38.28221893310547,-48.236175537109375,2,6,3.500828991411922,2.7174263140446007
-38.0,-48.0,-42.641109466552734,-47.61808776855469,2,5,0.3752322302269318,6.175276079749357
-36.0,-39.0,-37.392333984375,-38.88542556762695,3,4,0.29131765734979526,0.6591818481541718
-37.0,-28.0,-36.65627670288086,-32.176998138427734,4,4,0.9936098718727555,0.865590817709943
-43.0,-44.0,-43.464111328125,-43.96180725097656,3,5,2.177340009956271,2.1459514963103334
-46.0,-46.0,-45.96180725097656,-45.96180725097656,3,5,1.5338841002704267,1.5340288303550014
-50.0,-39.0,-49.57989501953125,-44.105220794677734,5,3,1.0192388639786043,0.01684850041166351
-50.0,-39.0,-49.57989501953125,-44.105220794677734,5,3,1.0192388639786043,0.01684850041166351
-41.0,-27.0,-40.4653205871582,-33.49755096435547,6,2,0.43517410104080817,2.9203137694150447
-40.0,-42.0,-40.92822265625,-41.92361831665039,2,5,0.5060991128410504,0.8015882575280844
-51.0,-45.0,-50.770851135253906,-47.784664154052734,2,4,3.1765694034932626,3.4196149111036016
-42.0,-48.0,-44.784664154052734,-47.770851135253906,7,3,1.510783208698742,3.5084527335738604
