X,Y,AP1,AP2,AP1_attack,AP2_attack,layers1,layers2,error,error_adv
4.75,2.8,-45.0,-50.0,-46.32027816772461,-50.0,4,6,0.30889243620070334,1.4180300621745998
2.5,6.4,-47.0,-43.0,-47.0,-44.05622100830078,5,3,1.2704201496206955,1.3960561914653367
4.0,1.9,-50.0,-41.0,-50.0,-43.37649917602539,3,6,4.500096951533373,5.176461644427095
2.5,4.6,-41.0,-55.0,-44.69677734375,-55.0,4,4,0.1591883278644785,1.0573238746951523
1.0,7.3,-50.0,-27.0,-50.0,-33.073280334472656,5,2,1.771571248846866,1.3907080539564207
4.0,7.3,-48.0,-37.0,-48.0,-39.90461349487305,6,3,1.4224388214078363,1.3196138217908688
4.0,8.2,-42.0,-48.0,-43.58433532714844,-48.0,6,3,0.9205032698308903,2.857017988556186
2.5,1.9,-32.0,-47.0,-35.96083450317383,-47.0,2,6,0.4951163144370115,1.6657153537525056
3.0,8.2,-43.0,-40.0,-43.0,-40.79216766357422,6,2,1.167038979975538,1.0904814473899367
4.0,6.4,-48.0,-44.0,-48.0,-45.05622100830078,5,4,0.3335130699922483,0.6591691431561066
-0.8,1.9,-36.0,-44.0,-38.11244583129883,-44.0,2,5,0.7180471680212293,1.4886806728408035
2.0,1.9,-29.0,-49.0,-34.28111267089844,-49.0,2,6,0.12748979223508902,0.4518391540298795
-0.8,2.8,-38.0,-48.0,-40.64055633544922,-48.0,2,5,1.2174381939060066,5.184574805846124
1.0,3.7,-36.0,-39.0,-36.79216766357422,-39.0,3,4,0.2685404616846053,0.26036125869938165
-0.8,3.7,-37.0,-28.0,-37.0,-29.99012565612793,3,4,0.1790139694177946,0.1531714017523438
3.5,2.8,-43.0,-44.0,-43.26405715942383,-44.0,3,5,1.4571109890025427,1.4213287875277596
3.0,2.8,-46.0,-46.0,-46.0,-46.0,3,5,2.3730711485745464,2.3730711485745464
3.5,7.3,-50.0,-39.0,-50.0,-41.90461349487305,5,3,0.6691026221205659,0.9193692496002814
3.5,7.3,-50.0,-39.0,-50.0,-41.90461349487305,5,3,0.6691026221205659,0.9193692496002814
-0.8,8.2,-41.0,-27.0,-41.0,-30.696779251098633,6,2,0.4151720410905512,1.7187398318495066
0.5,2.8,-40.0,-42.0,-40.52811050415039,-42.0,2,5,0.7962199701471753,0.8799062268944051
1.0,3.7,-51.0,-45.0,-51.0,-46.58433532714844,3,4,2.4932600905632345,1.53192277137385
4.0,9.1,-42.0,-48.0,-43.58433532714844,-48.0,7,3,1.7553587568170597,3.7534307776022273
3.5,9.1,-45.0,-40.0,-45.0,-41.32027816772461,6,2,1.47369095824994,1.99408960958922
2.5,9.1,-56.0,-31.0,-56.0,-37.60139083862305,6,2,0.11711008605704137,2.3307286346950327
3.0,3.7,-47.0,-43.0,-47.0,-44.05622100830078,3,5,1.5956360984587346,1.9111962696230944
4.0,3.7,-45.0,-46.0,-45.26405715942383,-46.0,4,5,1.218310065922169,1.2718709366477479
0.5,8.2,-44.0,-27.0,-44.0,-31.48894500732422,5,2,0.6452523295524772,0.6316207898521249
0.5,9.1,-44.0,-27.0,-44.0,-31.48894500732422,6,1,0.26184846668622386,1.070630685499374
4.75,3.7,-65.0,-48.0,-65.0,-52.48894500732422,4,5,5.410908400936712e-07,4.2104963066044277e-07
1.5,9.1,-46.0,-38.0,-46.0,-40.11244583129883,6,2,1.5572425311498606,2.2013783069986843
2.0,2.8,-42.0,-55.0,-45.43272399902344,-55.0,2,5,2.0222583788050623,2.5119064226927974
-0.8,9.1,-50.0,-22.0,-50.0,-29.393556594848633,6,1,1.1074330173228573,2.7499372561899817
-0.8,8.2,-42.0,-22.0,-42.0,-27.281112670898438,6,2,1.1139743684511578,0.9503446162398534
0.5,4.6,-43.0,-39.0,-43.0,-40.05622100830078,3,4,2.3623195236740004,3.2479485156460393
-0.8,2.8,-38.0,-48.0,-40.64055633544922,-48.0,2,5,1.2174381939060066,5.184574805846124
3.5,7.3,-50.0,-39.0,-50.0,-41.90461349487305,5,3,0.6691026221205659,0.9193692496002814
2.5,2.8,-32.0,-47.0,-35.96083450317383,-47.0,3,5,0.6573335467187162,1.7028821494207393
0.5,7.3,-43.0,-37.0,-43.0,-38.58433532714844,5,2,1.2195849690477762,1.35934292780579
4.75,8.2,-48.0,-46.0,-48.0,-46.52811050415039,6,3,1.2309368237779228,1.488735058798286
3.0,4.6,-47.0,-43.0,-47.0,-44.05622100830078,4,4,0.7014542836068715,1.0894388402400785
2.0,1.9,-27.0,-48.0,-32.545166015625,-48.0,2,6,0.03465445192275453,0.46141703757921876
2.5,4.6,-41.0,-55.0,-44.69677734375,-55.0,4,4,0.1591883278644785,1.0573238746951523
1.0,4.6,-51.0,-45.0,-51.0,-46.58433532714844,3,4,1.8112236868045513,0.8668310552220513
3.0,6.4,-43.0,-57.0,-46.69677734375,-57.0,5,3,0.942654358838878,1.586064332285421
-0.8,6.4,-40.0,-41.0,-40.26405715942383,-41.0,4,2,2.53359018398556,2.542129976614259
3.0,3.7,-47.0,-43.0,-47.0,-44.05622100830078,3,5,1.5956360984587346,1.9111962696230944
3.0,4.6,-47.0,-43.0,-47.0,-44.05622100830078,4,4,0.7014542836068715,1.0894388402400785
3.5,3.7,-43.0,-44.0,-43.26405715942383,-44.0,3,5,0.67297850659398,0.6103579328997149
3.5,7.3,-50.0,-39.0,-50.0,-41.90461349487305,5,3,0.6691026221205659,0.9193692496002814
2.5,9.1,-56.0,-31.0,-56.0,-37.60139083862305,6,2,0.11711008605704137,2.3307286346950327
2.0,2.8,-42.0,-55.0,-45.43272399902344,-55.0,2,5,2.0222583788050623,2.5119064226927974
1.5,1.9,-33.0,-45.0,-36.16866683959961,-45.0,2,6,0.26228935460907066,1.824096494233814
-0.8,4.6,-37.0,-28.0,-37.0,-30.928264617919922,3,4,0.7210114521592682,0.7322591040940089
4.0,7.3,-48.0,-37.0,-48.0,-39.90461349487305,6,3,1.4224388214078363,1.3196138217908688
3.5,8.2,-45.0,-40.0,-45.0,-41.32027816772461,6,3,0.7228987357354807,1.14692023762856
4.75,1.9,-45.0,-50.0,-46.32027816772461,-50.0,3,6,1.1860659841769883,2.2126786443720508
3.5,9.1,-45.0,-40.0,-45.0,-41.32027816772461,6,2,1.47369095824994,1.99408960958922
2.5,1.9,-32.0,-47.0,-35.96083450317383,-47.0,2,6,0.4951163144370115,1.6657153537525056
0.5,9.1,-44.0,-27.0,-44.0,-31.48894500732422,6,1,0.26184846668622386,1.070630685499374
3.0,6.4,-43.0,-57.0,-46.69677734375,-57.0,5,3,0.942654358838878,1.586064332285421
2.5,7.3,-49.0,-43.0,-49.0,-44.58433532714844,5,3,1.5971221750019895,1.2243358300705687
2.5,9.1,-56.0,-31.0,-56.0,-37.60139083862305,6,2,0.11711008605704137,2.3307286346950327
-0.8,1.9,-36.0,-44.0,-38.11244583129883,-44.0,2,5,0.7180471680212293,1.4886806728408035
3.0,4.6,-47.0,-43.0,-47.0,-44.05622100830078,4,4,0.7014542836068715,1.0894388402400785
0.5,7.3,-43.0,-37.0,-43.0,-38.58433532714844,5,2,1.2195849690477762,1.35934292780579
3.5,8.2,-45.0,-40.0,-45.0,-41.32027816772461,6,3,0.7228987357354807,1.14692023762856
4.75,7.3,-45.0,-47.0,-45.52811050415039,-47.0,6,4,2.8880778253340695,2.7864837467645986
2.0,6.4,-43.0,-45.0,-43.52811050415039,-45.0,4,3,2.1136604493290188,2.4372004461583656
4.75,1.9,-45.0,-50.0,-46.32027816772461,-50.0,3,6,1.1860659841769883,2.2126786443720508
1.0,3.7,-36.0,-39.0,-36.79216766357422,-39.0,3,4,0.2685404616846053,0.26036125869938165
3.5,1.9,-43.0,-37.0,-43.0,-38.58433532714844,3,6,4.963713162848138,4.9512146422962395
3.5,2.8,-43.0,-44.0,-43.26405715942383,-44.0,3,5,1.4571109890025427,1.4213287875277596
2.5,9.1,-56.0,-31.0,-56.0,-37.60139083862305,6,2,0.11711008605704137,2.3307286346950327
3.0,1.9,-56.0,-31.0,-56.0,-37.60139083862305,3,6,7.175150547786674,5.187731565611328
3.5,9.1,-45.0,-40.0,-45.0,-41.32027816772461,6,2,1.47369095824994,1.99408960958922
1.5,8.2,-47.0,-37.0,-47.0,-39.64055633544922,6,2,1.033637578156382,1.2006812157281634
3.0,7.3,-43.0,-57.0,-46.69677734375,-57.0,5,3,1.8240443906506756,2.485640767924527
3.0,8.2,-43.0,-40.0,-43.0,-40.79216766357422,6,2,1.167038979975538,1.0904814473899367
2.0,1.9,-29.0,-49.0,-34.28111267089844,-49.0,2,6,0.12748979223508902,0.4518391540298795
3.5,9.1,-45.0,-40.0,-45.0,-41.32027816772461,6,2,1.47369095824994,1.99408960958922
4.75,1.9,-45.0,-50.0,-46.32027816772461,-50.0,3,6,1.1860659841769883,2.2126786443720508
1.5,7.3,-45.0,-47.0,-45.52811050415039,-47.0,5,4,2.8259028375881132,2.771008925210042
4.0,6.4,-48.0,-37.0,-48.0,-39.90461349487305,5,4,1.9416058785059187,1.7594829563070435
1.0,4.6,-51.0,-45.0,-51.0,-46.58433532714844,3,4,1.8112236868045513,0.8668310552220513
