X,Y,AP1,AP2,error,AP1_attack,AP2_attack,error_adv,layers1,layers2
4.75,2.8,-45.0,-50.0,1.8868438526827986,-46.32027816772461,-50.0,1.9844609306529253,4,6
2.5,6.4,-47.0,-43.0,1.1030660132515777,-47.0,-44.05622100830078,1.239595233430784,5,3
4.0,1.9,-50.0,-41.0,3.3720280534584806,-50.0,-43.37649917602539,4.392549255486401,3,6
2.5,4.6,-41.0,-55.0,0.3175217645496792,-44.69677734375,-55.0,2.1102046236271272,4,4
1.0,7.3,-50.0,-27.0,1.6730022017115072,-50.0,-33.073280334472656,1.4392584959291657,5,2
4.0,7.3,-48.0,-37.0,1.5861006099773873,-48.0,-39.90461349487305,1.0901703600977228,6,3
4.0,8.2,-42.0,-48.0,0.6476192685039243,-43.58433532714844,-48.0,1.7632236360687121,6,3
2.5,1.9,-32.0,-47.0,0.5143536799992284,-35.96083450317383,-47.0,2.3151986142707814,2,6
3.0,8.2,-43.0,-40.0,1.9904160703241587,-43.0,-40.79216766357422,1.4722124824824991,6,2
4.0,6.4,-48.0,-44.0,0.9838912796597841,-48.0,-45.05622100830078,0.4508257300539912,5,4
-0.8,1.9,-36.0,-44.0,0.9774410328614436,-38.11244583129883,-44.0,2.370552486628292,2,5
2.0,1.9,-29.0,-49.0,0.13440240817798568,-34.28111267089844,-49.0,0.6704027036161606,2,6
-0.8,2.8,-38.0,-48.0,0.8962535723684772,-40.64055633544922,-48.0,6.081426010641258,2,5
1.0,3.7,-36.0,-39.0,0.5556116171462503,-36.79216766357422,-39.0,0.5590660154580104,3,4
-0.8,3.7,-37.0,-28.0,0.4510159045145283,-37.0,-30.376501083374023,0.1544826028288133,3,4
3.5,2.8,-43.0,-44.0,1.4499574835245834,-43.26405715942383,-44.0,1.4230759739257206,3,5
3.0,2.8,-46.0,-46.0,1.9336841482070675,-46.0,-46.0,1.9336841482070675,3,5
3.5,7.3,-50.0,-39.0,0.7011436071663353,-50.0,-41.90461349487305,2.0347813882982235,5,3
3.5,7.3,-50.0,-39.0,0.7011436071663353,-50.0,-41.90461349487305,2.0347813882982235,5,3
-0.8,8.2,-41.0,-27.0,0.9072091097852669,-41.0,-30.696779251098633,1.2464388708650922,6,2
0.5,2.8,-40.0,-42.0,1.1933329616848016,-40.52811050415039,-42.0,1.5257393038512643,2,5
1.0,3.7,-51.0,-45.0,1.210076840035271,-51.0,-46.58433532714844,1.7228760050090504,3,4
4.0,9.1,-42.0,-48.0,1.5470384125045749,-43.58433532714844,-48.0,2.6585477256293557,7,3
3.5,9.1,-45.0,-40.0,1.567213636367964,-45.0,-41.32027816772461,1.522743030356195,6,2
2.5,9.1,-56.0,-31.0,0.8018319525854103,-56.0,-37.60139083862305,2.179045743178102,6,2
3.0,3.7,-47.0,-43.0,1.7057919367381063,-47.0,-44.05622100830078,1.664780072988577,3,5
4.0,3.7,-45.0,-46.0,0.7398579819598792,-45.26405715942383,-46.0,0.6756469665891283,4,5
0.5,8.2,-44.0,-27.0,0.5140571591187472,-44.0,-31.48894500732422,0.8739039390098229,5,2
0.5,9.1,-44.0,-27.0,0.3956972064988124,-44.0,-31.48894500732422,1.5765601782878709,6,1
4.75,3.7,-65.0,-48.0,0.5572741961547744,-65.0,-52.48894500732422,0.0696073975360638,4,5
1.5,9.1,-46.0,-38.0,1.694810062599286,-46.0,-40.11244583129883,1.935708445908373,6,2
2.0,2.8,-42.0,-55.0,1.8014611234128817,-45.43272399902344,-55.0,2.436870076032707,2,5
-0.8,9.1,-50.0,-22.0,0.06452516724189108,-50.0,-29.393556594848633,2.0523654565213896,6,1
-0.8,8.2,-42.0,-22.0,1.1158305132679467,-42.0,-27.281112670898438,1.1900592974854887,6,2
