Time,Name,IP,Value,X,Y
2023-06-28 21:29:21.713,Xiaomi_CEB5_5G,f0:b4:29:da:ce:b7,-62,3.5,4.6
2023-06-28 21:29:21.716,Peppa Pig,48:a1:95:eb:c6:21,-78,3.5,4.6
2023-06-28 21:29:21.717,BUAA-WiFi,18:64:72:d3:21:b0,-58,3.5,4.6
2023-06-28 21:29:21.718,AP1_5G,f0:b4:29:db:56:86,-62,3.5,4.6
2023-06-28 21:29:21.720,Xiaomi_CEB5,f0:b4:29:da:ce:b6,-42,3.5,4.6
2023-06-28 21:29:21.721,BUAA-Mobile,18:64:72:d3:21:b1,-55,3.5,4.6
2023-06-28 21:29:21.722,,aa:39:b3:d8:a7:52,-95,3.5,4.6
2023-06-28 21:29:21.723,Xiaomi_3308,a4:39:b3:d8:a7:52,-96,3.5,4.6
2023-06-28 21:29:21.724,AP1,f0:b4:29:db:56:85,-82,3.5,4.6
2023-06-28 21:29:21.725,BUAA-WiFi,b0:f9:63:24:54:b0,-94,3.5,4.6
2023-06-28 21:29:21.726,BUAA-Mobile,18:64:72:d3:03:81,-64,3.5,4.6
2023-06-28 21:29:21.727,BUAA-Mobile,b0:f9:63:24:15:d2,-94,3.5,4.6
2023-06-28 21:29:21.728,Peppa Pig,48:a1:95:eb:c6:20,-60,3.5,4.6
2023-06-28 21:29:21.729,BUAA-Mobile,18:64:72:d3:1b:01,-96,3.5,4.6
2023-06-28 21:29:21.730,BUAA-WiFi,18:64:72:d3:1b:00,-96,3.5,4.6
2023-06-28 21:29:21.731,BUAA-Mobile,18:64:72:d3:29:41,-85,3.5,4.6
2023-06-28 21:29:21.732,BUAA-WiFi,18:64:72:d3:03:80,-65,3.5,4.6
2023-06-28 21:29:21.733,CMT,28:64:b0:7b:b0:a0,-91,3.5,4.6
2023-06-28 21:29:21.734,BUAA-WiFi,18:64:72:d3:21:a0,-50,3.5,4.6
2023-06-28 21:29:21.735,BUAA-Mobile,18:64:72:d3:03:91,-73,3.5,4.6
2023-06-28 21:29:21.736,BUAA-WiFi,18:64:72:d3:03:90,-72,3.5,4.6
2023-06-28 21:29:21.737,BUAA-WiFi,18:64:72:d3:29:40,-76,3.5,4.6
2023-06-28 21:29:21.737,BUAA-WiFi,b0:f9:63:24:51:b0,-95,3.5,4.6
2023-06-28 21:29:21.738,buaacw_Wi-Fi5,1e:79:75:8f:16:ca,-87,3.5,4.6
2023-06-28 21:29:21.739,DIRECT-c4-HP M283 LaserJet,5e:fb:3a:d6:d8:c4,-88,3.5,4.6
2023-06-28 21:29:21.739,HUAWEI-GYEL3E_5G,a8:5a:e0:db:b5:0c,-80,3.5,4.6
2023-06-28 21:29:21.740,BUAA-Mobile,18:64:72:d3:21:a1,-50,3.5,4.6
2023-06-28 21:29:21.741,TOUYING,00:5a:13:68:d2:78,-85,3.5,4.6
2023-06-28 21:29:21.741,,ee:b9:70:df:6e:22,-91,3.5,4.6
2023-06-28 21:29:21.742,BUAA-Mobile,b0:f9:63:24:19:f2,-92,3.5,4.6
2023-06-28 21:29:21.743,BUAA-WiFi,b0:f9:63:24:19:f0,-92,3.5,4.6
2023-06-28 21:29:21.743,buaacw,04:79:75:8f:16:ca,-88,3.5,4.6
2023-06-28 21:29:21.744,HUAWEI-GYEL3E_5G,c8:94:bb:21:09:24,-81,3.5,4.6
2023-06-28 21:29:22.698,Xiaomi_CEB5_5G,f0:b4:29:da:ce:b7,-62,3.5,4.6
2023-06-28 21:29:22.704,Peppa Pig,48:a1:95:eb:c6:21,-78,3.5,4.6
2023-06-28 21:29:22.708,BUAA-WiFi,18:64:72:d3:21:b0,-58,3.5,4.6
2023-06-28 21:29:22.710,AP1_5G,f0:b4:29:db:56:86,-62,3.5,4.6
2023-06-28 21:29:22.711,Xiaomi_CEB5,f0:b4:29:da:ce:b6,-42,3.5,4.6
2023-06-28 21:29:22.712,BUAA-Mobile,18:64:72:d3:21:b1,-55,3.5,4.6
2023-06-28 21:29:22.714,,aa:39:b3:d8:a7:52,-95,3.5,4.6
2023-06-28 21:29:22.715,Xiaomi_3308,a4:39:b3:d8:a7:52,-96,3.5,4.6
2023-06-28 21:29:22.716,AP1,f0:b4:29:db:56:85,-82,3.5,4.6
2023-06-28 21:29:22.717,BUAA-WiFi,b0:f9:63:24:54:b0,-94,3.5,4.6
