AP1,AP2,X,Y
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-36.0,-44.0,-0.8,1.9
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,2.8
-38.0,-48.0,-0.8,3.7
-38.0,-48.0,-0.8,3.7
-38.0,-48.0,-0.8,3.7
-38.0,-48.0,-0.8,3.7
-38.0,-48.0,-0.8,3.7
-38.0,-48.0,-0.8,3.7
-38.0,-48.0,-0.8,3.7
-38.0,-48.0,-0.8,3.7
-38.0,-48.0,-0.8,3.7
-38.0,-48.0,-0.8,3.7
-38.0,-48.0,-0.8,3.7
-38.0,-48.0,-0.8,3.7
-38.0,-48.0,-0.8,3.7
-38.0,-48.0,-0.8,3.7
-38.0,-48.0,-0.8,3.7
-38.0,-48.0,-0.8,3.7
-38.0,-48.0,-0.8,3.7
-38.0,-48.0,-0.8,3.7
-38.0,-48.0,-0.8,3.7
-38.0,-48.0,-0.8,3.7
-38.0,-48.0,-0.8,3.7
-38.0,-48.0,-0.8,3.7
-35.0,-29.0,-0.8,3.7
-34.0,-29.0,-0.8,3.7
-34.0,-41.0,-0.8,3.7
-37.0,-28.0,-0.8,3.7
-37.0,-28.0,-0.8,3.7
-37.0,-28.0,-0.8,3.7
-37.0,-28.0,-0.8,3.7
-37.0,-28.0,-0.8,3.7
-37.0,-28.0,-0.8,3.7
-37.0,-28.0,-0.8,3.7
-37.0,-28.0,-0.8,3.7
-37.0,-28.0,-0.8,3.7
-37.0,-28.0,-0.8,3.7
-37.0,-28.0,-0.8,3.7
-37.0,-28.0,-0.8,3.7
-37.0,-28.0,-0.8,3.7
-37.0,-28.0,-0.8,3.7
-37.0,-28.0,-0.8,3.7
-37.0,-28.0,-0.8,3.7
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-37.0,-28.0,-0.8,4.6
-40.0,-41.0,-0.8,6.4
-40.0,-41.0,-0.8,6.4
-40.0,-41.0,-0.8,6.4
-40.0,-41.0,-0.8,6.4
-40.0,-41.0,-0.8,6.4
-40.0,-41.0,-0.8,6.4
-40.0,-41.0,-0.8,6.4
-40.0,-41.0,-0.8,6.4
-40.0,-41.0,-0.8,6.4
-40.0,-41.0,-0.8,6.4
-40.0,-41.0,-0.8,6.4
-40.0,-41.0,-0.8,6.4
-40.0,-41.0,-0.8,6.4
-40.0,-41.0,-0.8,6.4
-40.0,-41.0,-0.8,6.4
-40.0,-41.0,-0.8,6.4
-40.0,-41.0,-0.8,6.4
-40.0,-41.0,-0.8,6.4
-40.0,-41.0,-0.8,6.4
-40.0,-41.0,-0.8,6.4
-40.0,-41.0,-0.8,6.4
-40.0,-41.0,-0.8,6.4
-40.0,-41.0,-0.8,6.4
-40.0,-41.0,-0.8,6.4
